epoch,Train (k=2),Test (k=2),Train (k=3),Test (k=3),Train (k=5),Test (k=5),Train (k=10),Test (k=10)
1,2268.90980629238,2131.5448033164257,1855.3422243681869,1066.2046570684727,941.3931819469519,1094.17742679342,1120.7677362709321,1295.770262248952
2,2099.65388826892,2073.265662760383,1741.9637488586156,1009.31031185975,838.8781539610138,1002.9663481683858,964.6369534770029,1158.352593472619
3,1928.4260913090907,2017.5894265985553,1616.699563755856,952.5473355910982,743.2311592778193,925.2444439119035,818.8340581181881,1036.3125284870623
4,1768.4497748631297,1957.6011530857209,1480.040125183872,899.3030412079958,657.0755539201639,857.6974205008803,697.0525338808021,925.8412209832644
5,1604.582031171245,1888.6484917472176,1340.1027197776905,853.6172010720467,583.7546607743807,793.5381780279996,600.0796813192117,819.6655323805347
6,1430.1313942561405,1813.782742539116,1210.9409545697688,814.8440547383865,522.0914203379454,729.5758767182526,517.7383903601544,715.5594340983193
7,1266.3340945888926,1738.6066629648149,1096.7062257582106,776.8753581096859,470.1945621178329,669.3189495685219,447.5066779192886,619.5816506410487
8,1132.9201197654875,1665.9517592602192,989.7098148617232,735.7114844988997,427.2695611144628,617.7003293647136,393.44643657493623,540.8266529316246
9,1024.933168743746,1594.673158515783,880.5303085094106,689.9226162332734,392.42964296324925,576.5738075035806,353.3490817472299,480.1201618351648
10,932.3716906292153,1523.3509520654989,764.1675864324261,639.1247375987202,364.2831122195009,544.4577480767788,322.0497575445821,432.2365949918898
11,849.5250595858247,1451.670228576214,651.4126080609851,586.2426190673788,341.4148791687239,518.8913087063411,296.3634470381975,393.27167133933034
12,773.6175429911843,1380.2134563583518,563.6248193152736,538.6633045099985,322.66217213121223,497.8597977952334,274.4700836564162,360.9937455335955
13,703.3851790812125,1310.249352872548,501.87014109742626,499.9476903487212,307.08112595689755,479.96653422740246,255.2755214622297,334.0540288995953
14,638.5267734441775,1243.5001028578072,456.4425034183478,468.3844486330343,293.9064761446134,464.2844115630937,238.13863937149185,311.5302598396664
15,579.4582518216096,1181.7013222683186,421.2702062212768,442.127612990098,282.5495266751143,450.2219040161907,222.7269437798474,292.70287730744974
16,526.9298431185456,1126.0082459550372,393.156805906815,419.9929441543165,272.5821913358577,437.4138219628934,208.91550652886707,276.95031691431143
17,481.431138425652,1076.6207484699248,370.1613039489501,401.14599579159335,263.70130231269445,425.63325543649233,196.714742752715,263.705994285285
18,442.76350983014265,1032.9524284335755,350.948594987588,384.9367925004287,255.69120953032825,414.73088497252456,186.19083263351018,252.44677031521442
19,410.11509779766106,994.1317789393067,334.54209328710976,370.84284955973953,248.39495876910263,404.59921766610296,177.33807995373178,242.70478703167913
20,382.4420422277668,959.3627833417355,320.2082618277955,358.4458098375788,241.694929559999,395.15373550059195,169.98303473876138,234.09843671651592
21,358.7749936011001,928.0112814962195,307.3865965851887,347.4149807299295,235.50047124714075,386.3236198555896,163.82341756448616,226.35425545850785
22,338.33155602446743,899.5687546918664,295.6405032091697,337.4924033823101,229.74003034388375,378.0473201269788,158.54405874680162,219.29583969999908
23,320.51080349017946,873.6130327687026,284.6222689553189,328.47986630017994,224.3560232051359,370.2703921485656,153.89482504751635,212.81202911968347
24,304.8527240881606,849.7890838504266,274.0503059020555,320.2288481451829,219.30138262970027,362.94434006859825,149.70441475431386,206.82758231922566
25,290.99956125323297,827.7997336476865,263.6990532909738,312.6338696433257,214.53714789340674,356.0258822583377,145.8625601524676,201.28527043555263
26,278.66754224438466,807.3982436580875,253.4036851997938,305.62916083295727,210.03072748290614,349.47639329933236,142.29836650048105,196.13725443814627
27,267.62770894945015,788.380656827457,243.08207327635944,299.187730286384,205.75461181645943,343.26142414841877,138.96447454402136,191.34153922353875
28,257.69293515240224,770.5782984342125,232.77146675097902,293.32024911139723,201.68539767819664,337.3502662484326,135.82739611410437,186.86065380283475
29,248.70883935940373,753.851076595746,222.6618485347284,288.06826489131475,197.80303527520985,331.7155500741872,132.862046041835,182.66113909615305
30,240.54714614654768,738.0818797711138,213.0853480640254,283.48386484307554,194.09023839566942,326.3328767575857,130.0487102830595,178.71325639547234
31,233.1006482886696,723.1720677311621,204.42134643619238,279.59232608067964,190.53201658203253,321.18048310679353,127.37133605344145,174.99071599203904
32,226.27927697793916,709.0379084151068,196.93942181173517,276.3516679039053,187.1153001567534,316.23893984164744,124.81652402261184,171.47038022057617
33,220.00698260927214,695.6077776871572,190.68672691409122,273.6403261523728,183.828636915108,311.49088193003115,122.37289680044606,168.13194704032742
34,214.21923382938053,682.8199544156683,185.5062317025678,271.2897763017348,180.6619447976032,306.9207691237878,120.03067599895171,164.95763160697086
35,208.86100082247825,670.6208744793112,181.14763694056236,269.1381976197183,177.60630873998699,302.5146742982553,117.78138115173343,161.93186099907197
36,203.8851233849819,658.963738388767,177.37076271463533,267.0671348245899,174.65381270306796,298.2600969723506,115.61760453485904,159.0409918817457
37,199.2509868819478,647.8073929077719,173.9925895112393,265.0083622630796,171.79739994391147,294.14579935731365,113.53283647519031,156.27305600688095
38,194.9234452603971,637.1154267170225,170.89019486689426,262.9324385204257,169.03075612461586,290.16166238327236,111.52132627134809,153.61753493426482
39,190.87194254085298,626.8554347292957,167.98630191920896,260.83338098187545,166.3482110128188,286.29855932947135,109.57796944327511,151.0651631395491
40,187.06979387875046,616.9984163587587,165.23353316253318,258.7166595867156,163.74465541128166,282.54824489768805,107.69821513720402,148.60775743598484
41,183.4935950425869,607.5182809313432,162.6026576385579,256.59180518109116,161.21547063398611,278.9032577935521,105.87798934817113,146.23807006068117
42,180.1227353975625,598.3914392970604,160.07505499913236,254.46857747310824,158.7564683743588,275.3568351013503,104.11363077545279,143.9496626154719
43,176.93899449796749,589.5964651405374,157.63823674857147,252.35532441135828,156.3638392246396,271.90283694544667,102.4018368957638,141.73679813367312
44,173.92620640505126,581.1138128810538,155.28328723551766,250.25851137292875,154.0341084312966,268.5356801211001,100.73961837948305,139.59434875285402
