epoch,Linear,Logistic (β=0.2),Tanh (β=0.3)
1,1541.7553973062281,1804.5341998767728,1135.168969169074
2,1413.7223424755396,1734.5228825852853,969.4381331510491
3,1299.210752117617,1662.800510072218,822.5503584363598
4,1196.4573434459573,1589.5640358652547,700.8262414035156
5,1103.9787969172878,1514.974596318354,603.7195164208296
6,1020.5209304011221,1439.1633571926188,527.651492608698
7,945.0178011692373,1362.271626335756,468.5029710491234
8,876.5587248578724,1284.5285316003935,422.43232948798965
9,814.3616151965707,1206.3563453155214,386.2134765878989
10,757.7513766470819,1128.4740743494308,357.3253156930096
11,706.1423422027095,1051.947851484443,333.88338498141064
12,659.0239547258506,978.1285361267661,314.5116559804028
13,615.9490536214572,908.4500110439319,298.21439693352676
14,576.5242582666833,844.1414649966317,284.27089965039846
15,540.4020424857796,785.9795010533004,272.15633207746123
16,507.2741760437288,734.1932761271846,261.48478372741545
17,476.86627403648146,688.538341750491,251.96913250658693
18,448.93324666376776,648.4641786614227,243.3929923415822
19,423.2554829385086,613.2849968599947,235.59111074129936
20,399.6356345959231,582.3033259502661,228.4356083749095
21,377.8958925420447,554.8788909747342,221.8262459528442
22,357.87566899248856,530.4564996036794,215.68347437226544
23,339.4296150807062,508.56981670721626,209.9434197807775
24,322.42591701849705,488.8336008033977,204.5542246592234
25,306.74482455020564,470.9318623548317,199.47334814279142
26,292.27737399502047,454.6057085159511,194.66555177004176
27,278.92427504691824,439.6424684730753,190.10138013693546
28,266.59493603859204,425.8665774882725,185.75600266404467
29,255.20660684388818,413.1321901483821,181.60832161152308
30,244.68362220714974,401.3173000844103,177.64027841013052
31,234.95673121789974,390.31909827455553,173.83630918009098
32,225.96250103112797,380.0503191612387,170.18291355927906
33,217.64278487514522,370.43636200121193,166.6683103864779
34,209.94424597668203,361.41301586646074,163.28216055168852
35,202.81793033538784,352.92465339179324,160.01534222834917
36,196.21888235207504,344.9227886848927,156.8597672872145
37,190.1057982008835,337.3649188813244,153.80823033600177
38,184.44071257021758,330.2135875113859,150.85428379618364
39,179.18871500906792,323.43562217787877,147.99213390399595
40,174.3176926268468,317.00150997213177,145.21655363849857
41,169.7980963244075,310.8848823704043,142.5228094296609
42,165.60272809620116,305.06208768140203,139.90659915196875
43,161.70654725042817,299.51183394230776,137.3639994134606
44,158.0864936552232,294.21488885367154,134.89142054267893
45,154.7213263421541,289.15382618026405,132.48556798356526
46,151.59147599000448,284.3128102339437,130.14340905076344
47,148.67890997711393,279.67741175192407,127.8621441900659
48,145.96700883372463,275.2344498067255,125.63918204210181
49,143.44045305030951,270.9718554206054,123.4721177303743
50,141.0851193065993,266.8785533737377,121.35871389394411
51,138.8879852813605,262.9443593420428,119.2968840654461
52,136.83704228686025,259.15989001543284,117.28467806059732
53,134.92121504602926,255.51648425938225,115.32026909893371
54,133.13028799595943,252.00613371438604,113.40194241954842
55,131.45483755969923,248.62142149614297,111.5280851919645
56,129.88616988029625,245.3554678774015,109.6971775524154
57,128.4162635575054,242.20188201061214,107.90778462089521
58,127.03771696921301,239.15471889683013,106.1585493753046
59,125.74369979702598,236.20844092700236,104.44818627660217
60,124.52790840913394,233.35788342177753,102.77547555367015
61,123.38452478390991,230.59822367922598,101.13925806910466
62,122.30817868514968,227.92495310943664,99.53843069773602
63,121.29391282467523,225.3338520933775,97.97194215869047
64,120.33715077053762,222.82096725263068,96.43878924948777
65,119.43366737948875,220.38259085826937,94.93801343724098
66,118.57956155096323,218.01524214251208,93.46869776766081
67,117.77123111671862,215.7156503069409,92.02996405741892
68,117.0053496956837,213.48073904684884,90.62097033960663
69,116.27884535761203,211.30761243340766,89.24090853564611
70,115.58888095196038,209.19354201439123,87.88900233014617
71,114.93283597013162,207.13595501063304,86.5645052279243
72,114.30828981993105,205.13242349963818,85.26669877479169
73,113.71300640089115,203.18065449013847,83.99489092577146
74,113.14491987809481,201.2784808021481,82.74841454623905
75,112.60212156035155,199.42385267648208,81.52662603306283
76,112.0828477961195,197.61483004593197,80.32890404422399
77,111.58546880748153,195.84957540751276,79.15464832662789
78,111.10847838882869,194.1263472415492,78.00327863290303
79,110.65048440272811,192.44349392896612,76.87423371894805
80,110.2102000108033,190.79944812309296,75.76697041483483
81,109.78643558236865,189.19272153667058,74.68096276243236
82,109.37809122807789,187.62190010862793,73.61570121378365
83,108.98414990999717,186.08563951864804,72.57069188486751
84,108.6036710833348,184.58266102061066,71.54545585990428
85,108.23578482857009,183.11174756873874,70.53952854184212
86,107.87968643595808,181.67174021272245,69.55245904508158
87,107.53463140735998,180.26153474027984,68.58380962687649
88,107.19993084308906,178.88007854757987,67.63315515418769
89,106.87494718398109,177.5263677197085,66.70008260307186
90,106.55909028122288,176.199444304946,65.78419058795929
91,106.251813768608,174.89839376804494,64.885088918422
92,105.95261171386097,173.6223426089833,64.00239818125384
93,105.66101552748547,172.3704561348283,63.13574934588228
94,105.37659110926448,171.1419363733922,62.28478339131466
